,urls
269,https://www.spotahome.com/barcelona/for-rent:apartments/621014
270,https://www.spotahome.com/barcelona/for-rent:apartments/1192512
271,https://www.spotahome.com/barcelona/for-rent:apartments/973214
272,https://www.spotahome.com/barcelona/for-rent:apartments/1084667
273,https://www.spotahome.com/barcelona/for-rent:apartments/761065
274,https://www.spotahome.com/barcelona/for-rent:apartments/861729
275,https://www.spotahome.com/barcelona/for-rent:apartments/937142
276,https://www.spotahome.com/barcelona/for-rent:apartments/1008888
277,https://www.spotahome.com/barcelona/for-rent:apartments/317450
278,https://www.spotahome.com/barcelona/for-rent:apartments/962927
279,https://www.spotahome.com/barcelona/for-rent:apartments/641682
280,https://www.spotahome.com/barcelona/for-rent:apartments/754857
281,https://www.spotahome.com/barcelona/for-rent:apartments/985688
282,https://www.spotahome.com/barcelona/for-rent:apartments/621534
283,https://www.spotahome.com/barcelona/for-rent:apartments/622461
284,https://www.spotahome.com/barcelona/for-rent:apartments/1064255
285,https://www.spotahome.com/barcelona/for-rent:apartments/916429
286,https://www.spotahome.com/barcelona/for-rent:apartments/1002690
287,https://www.spotahome.com/barcelona/for-rent:apartments/305602
288,https://www.spotahome.com/barcelona/for-rent:apartments/559803
289,https://www.spotahome.com/barcelona/for-rent:apartments/640438
290,https://www.spotahome.com/barcelona/for-rent:apartments/759976
291,https://www.spotahome.com/barcelona/for-rent:apartments/962315
292,https://www.spotahome.com/barcelona/for-rent:apartments/985355
293,https://www.spotahome.com/barcelona/for-rent:apartments/1015383
294,https://www.spotahome.com/barcelona/for-rent:apartments/781669
295,https://www.spotahome.com/barcelona/for-rent:apartments/213841
296,https://www.spotahome.com/barcelona/for-rent:apartments/510900
297,https://www.spotahome.com/barcelona/for-rent:apartments/994106
298,https://www.spotahome.com/barcelona/for-rent:apartments/953095
299,https://www.spotahome.com/barcelona/for-rent:apartments/572870
300,https://www.spotahome.com/barcelona/for-rent:apartments/952226
301,https://www.spotahome.com/barcelona/for-rent:apartments/431957
302,https://www.spotahome.com/barcelona/for-rent:apartments/253181
303,https://www.spotahome.com/barcelona/for-rent:apartments/913213
304,https://www.spotahome.com/barcelona/for-rent:apartments/746420
